Time,NetEnergy,DiffEnergy
0.022,14.6619,0.10017
0.0220179,14.7283,0.0664422
0.02225,14.8285,0.10017
0.0222679,14.8949,0.0664422
0.0225,14.9951,0.10017
0.0225179,15.0616,0.0664422
0.02275,15.1617,0.10017
0.0227679,15.2282,0.0664422
0.023,15.3283,0.10017
0.0230179,15.3948,0.0664422
0.02325,15.4949,0.10017
0.0232679,15.5614,0.0664422
0.0235,15.6616,0.10017
0.0235179,15.728,0.0664422
0.02375,15.8282,0.10017
0.0237679,15.8946,0.0664422
0.024,15.9948,0.10017
0.0240179,16.0612,0.0664422
0.02425,16.1614,0.10017
0.0242679,16.2278,0.0664422
0.0245,16.328,0.10017
0.0245179,16.3944,0.0664422
0.02475,16.4946,0.10017
0.0247679,16.5611,0.0664422
0.025,16.6612,0.10017
0.0250179,16.7277,0.0664422
0.02525,16.8278,0.10017
0.0252679,16.8943,0.0664422
0.0255,16.9945,0.10017
0.0255179,17.0609,0.0664422
0.02575,17.1611,0.10017
0.0257679,17.2275,0.0664422
0.026,17.3277,0.10017
0.0260179,17.3941,0.0664422
0.02625,17.4943,0.10017
0.0262679,17.5607,0.0664422
0.0265,17.6609,0.10017
0.0265179,17.7273,0.0664422
0.02675,17.8275,0.10017
0.0267679,17.894,0.0664422
0.027,17.9941,0.10017
0.0270179,18.0606,0.0664422
0.02725,18.1607,0.10017
0.0272679,18.2272,0.0664422
0.0275,18.3274,0.10017
0.0275179,18.3938,0.0664422
0.02775,18.494,0.10017
0.0277679,18.5604,0.0664422
0.028,18.6606,0.10017
0.0280179,18.727,0.0664422
0.02825,18.8272,0.10017
0.0282679,18.8936,0.0664422
0.0285,18.9938,0.10017
0.0285179,19.0602,0.0664422
0.02875,19.1604,0.10017
0.0287679,19.2269,0.0664422
0.029,19.327,0.10017
0.0290179,19.3935,0.0664422
0.02925,19.4936,0.10017
0.0292679,19.5601,0.0664422
0.0295,19.6603,0.10017
0.0295179,19.7267,0.0664422
0.02975,19.8269,0.10017
0.0297679,19.8933,0.0664422
0.03,19.9935,0.10017
0.0300179,20.0599,0.0664422
0.03025,20.1601,0.10017
0.0302679,20.2265,0.0664422
0.0305,20.3267,0.10017
0.0305179,20.3931,0.0664422
0.03075,20.4933,0.10017
